,Week,Day,Unnamed: 2,VisTm,Pts,Unnamed: 5,HomeTm,Pts.1,Time
0,Pre0,Thu,August 4,Jacksonville Jaguars,,@,Las Vegas Raiders,,8:00 PM
1,Pre1,Thu,August 11,New York Giants,,@,New England Patriots,,7:00 PM
2,Pre1,Thu,August 11,Tennessee Titans,,@,Baltimore Ravens,,7:30 PM
3,Pre1,Fri,August 12,Cleveland Browns,,@,Jacksonville Jaguars,,7:00 PM
4,Pre1,Fri,August 12,New York Jets,,@,Philadelphia Eagles,,7:30 PM
5,Pre1,Sat,August 13,Kansas City Chiefs,,@,Chicago Bears,,1:00 PM
6,Pre1,Sat,August 13,Arizona Cardinals,,@,Cincinnati Bengals,,1:00 PM
7,Pre1,Sat,August 13,Atlanta Falcons,,@,Detroit Lions,,1:00 PM
8,Pre1,Sat,August 13,New Orleans Saints,,@,Houston Texans,,1:00 PM
9,Pre1,Sat,August 13,Green Bay Packers,,@,San Francisco 49ers,,1:00 PM
